k,test_size_pct,metric,features,accuracy
13,15.00,EUCLIDEAN,charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.798161
13,15.00,EUCLIDEAN,charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.797677
13,15.00,EUCLIDEAN,averageWordLength|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.799129
13,15.00,EUCLIDEAN,averageWordLength|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.800581
13,15.00,EUCLIDEAN,averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.799613
13,15.00,EUCLIDEAN,averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.799613
13,15.00,EUCLIDEAN,averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.787512
13,15.00,EUCLIDEAN,averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.799613
13,15.00,EUCLIDEAN,averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.799613
13,15.00,EUCLIDEAN,averageWordLength|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.798645
13,15.00,EUCLIDEAN,averageWordLength|charCount|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.800581
13,15.00,EUCLIDEAN,averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.800581
13,15.00,EUCLIDEAN,averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.782188
13,15.00,EUCLIDEAN,averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.800581
13,15.00,EUCLIDEAN,averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.800581
13,15.00,EUCLIDEAN,averageWordLength|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.798645
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.783156
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.799613
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.785576
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.798645
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.785576
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.797193
